SEED4_INIT=0000000a
STACKSTORE cycle=8658 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=8667 addr=00025728 strb=f data=00000000
STACKSTORE cycle=8684 addr=0002573c strb=f data=00000214
STACKSTORE cycle=8693 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=8702 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=9667 addr=0002573c strb=f data=00000204
STACKSTORE cycle=9676 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=9685 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=9699 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=9708 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=9717 addr=00025728 strb=f data=00000000
STACKSTORE cycle=10036 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=10059 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=10068 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=10077 addr=00025728 strb=f data=00000000
STACKSTORE cycle=10100 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=10109 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=10118 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=10862 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=10879 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=10888 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=10897 addr=00025728 strb=f data=00000000
STACKSTORE cycle=10914 addr=0002573c strb=f data=00000214
STACKSTORE cycle=10923 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=10932 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=11877 addr=0002573c strb=f data=00000204
STACKSTORE cycle=11886 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=11895 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=11909 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=11918 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=11927 addr=00025728 strb=f data=00000000
STACKSTORE cycle=12257 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=12280 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=12289 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=12298 addr=00025728 strb=f data=00000000
STACKSTORE cycle=12321 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=12330 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=12339 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=13083 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=13100 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=13109 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=13118 addr=00025728 strb=f data=00000000
STACKSTORE cycle=13135 addr=0002573c strb=f data=00000214
STACKSTORE cycle=13144 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=13153 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=14098 addr=0002573c strb=f data=00000204
STACKSTORE cycle=14107 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=14116 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=14130 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=14139 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=14148 addr=00025728 strb=f data=00000000
STACKSTORE cycle=14467 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=14490 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=14499 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=14508 addr=00025728 strb=f data=00000000
STACKSTORE cycle=14531 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=14540 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=14549 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=15293 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=15310 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=15319 addr=0002572c strb=f data=4c3ebc20
