SEED4_INIT=0000000a
STACKSTORE cycle=8617 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=8626 addr=00025728 strb=f data=00000000
STACKSTORE cycle=8643 addr=0002573c strb=f data=00000214
STACKSTORE cycle=8652 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=8661 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=9609 addr=0002573c strb=f data=00000204
STACKSTORE cycle=9618 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=9627 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=9641 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=9650 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=9659 addr=00025728 strb=f data=00000000
STACKSTORE cycle=9976 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=9999 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=10008 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=10017 addr=00025728 strb=f data=00000000
STACKSTORE cycle=10040 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=10049 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=10058 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=10811 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=10828 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=10837 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=10846 addr=00025728 strb=f data=00000000
STACKSTORE cycle=10863 addr=0002573c strb=f data=00000214
STACKSTORE cycle=10872 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=10881 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=11811 addr=0002573c strb=f data=00000204
STACKSTORE cycle=11820 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=11829 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=11843 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=11852 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=11861 addr=00025728 strb=f data=00000000
STACKSTORE cycle=12189 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=12212 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=12221 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=12230 addr=00025728 strb=f data=00000000
STACKSTORE cycle=12253 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=12262 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=12271 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=13013 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=13030 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=13039 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=13048 addr=00025728 strb=f data=00000000
STACKSTORE cycle=13065 addr=0002573c strb=f data=00000214
STACKSTORE cycle=13074 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=13083 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=14013 addr=0002573c strb=f data=00000204
STACKSTORE cycle=14022 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=14031 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=14045 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=14054 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=14063 addr=00025728 strb=f data=00000000
STACKSTORE cycle=14380 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=14403 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=14412 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=14421 addr=00025728 strb=f data=00000000
STACKSTORE cycle=14444 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=14453 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=14462 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=15204 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=15221 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=15230 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=15239 addr=00025728 strb=f data=00000000
STACKSTORE cycle=15256 addr=0002573c strb=f data=00000214
STACKSTORE cycle=15265 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=15274 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=16222 addr=0002573c strb=f data=00000204
STACKSTORE cycle=16231 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=16240 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=16254 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=16263 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=16272 addr=00025728 strb=f data=00000000
STACKSTORE cycle=16589 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=16612 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=16621 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=16630 addr=00025728 strb=f data=00000000
STACKSTORE cycle=16653 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=16662 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=16671 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=17424 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=17441 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=17450 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=17459 addr=00025728 strb=f data=00000000
STACKSTORE cycle=17476 addr=0002573c strb=f data=00000214
STACKSTORE cycle=17485 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=17494 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=18442 addr=0002573c strb=f data=00000204
STACKSTORE cycle=18451 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=18460 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=18474 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=18483 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=18492 addr=00025728 strb=f data=00000000
STACKSTORE cycle=18809 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=18832 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=18841 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=18850 addr=00025728 strb=f data=00000000
STACKSTORE cycle=18873 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=18882 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=18891 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=19644 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=19661 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=19670 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=19679 addr=00025728 strb=f data=00000000
STACKSTORE cycle=19696 addr=0002573c strb=f data=00000214
STACKSTORE cycle=19705 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=19714 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=20667 addr=0002573c strb=f data=00000204
STACKSTORE cycle=20676 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=20685 addr=00025734 strb=f data=ffff4000
