SEED4_INIT=0000000a
STACKSTORE cycle=20479 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=20493 addr=00025728 strb=f data=00000000
STACKSTORE cycle=20521 addr=0002573c strb=f data=00000214
STACKSTORE cycle=20535 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=20549 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=23160 addr=0002573c strb=f data=00000204
STACKSTORE cycle=23174 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=23188 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=23202 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=23216 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=23230 addr=00025728 strb=f data=00000000
STACKSTORE cycle=24131 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=24159 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=24173 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=24187 addr=00025728 strb=f data=00000000
STACKSTORE cycle=24215 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=24229 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=24243 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=26039 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=26067 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=26081 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=26095 addr=00025728 strb=f data=00000000
STACKSTORE cycle=26123 addr=0002573c strb=f data=00000214
STACKSTORE cycle=26137 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=26151 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=28653 addr=0002573c strb=f data=00000204
STACKSTORE cycle=28667 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=28681 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=28695 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=28709 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=28723 addr=00025728 strb=f data=00000000
STACKSTORE cycle=29624 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=29652 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=29666 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=29680 addr=00025728 strb=f data=00000000
STACKSTORE cycle=29708 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=29722 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=29736 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=31532 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=31560 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=31574 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=31588 addr=00025728 strb=f data=00000000
STACKSTORE cycle=31616 addr=0002573c strb=f data=00000214
STACKSTORE cycle=31630 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=31644 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=34199 addr=0002573c strb=f data=00000204
STACKSTORE cycle=34213 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=34227 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=34241 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=34255 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=34269 addr=00025728 strb=f data=00000000
STACKSTORE cycle=35170 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=35198 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=35212 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=35226 addr=00025728 strb=f data=00000000
STACKSTORE cycle=35254 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=35268 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=35282 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=37103 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=37131 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=37145 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=37159 addr=00025728 strb=f data=00000000
STACKSTORE cycle=37187 addr=0002573c strb=f data=00000214
STACKSTORE cycle=37201 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=37215 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=39770 addr=0002573c strb=f data=00000204
STACKSTORE cycle=39784 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=39798 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=39812 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=39826 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=39840 addr=00025728 strb=f data=00000000
STACKSTORE cycle=40741 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=40769 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=40783 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=40797 addr=00025728 strb=f data=00000000
STACKSTORE cycle=40825 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=40839 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=40853 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=42649 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=42677 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=42691 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=42705 addr=00025728 strb=f data=00000000
STACKSTORE cycle=42733 addr=0002573c strb=f data=00000214
STACKSTORE cycle=42747 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=42761 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=45263 addr=0002573c strb=f data=00000204
STACKSTORE cycle=45277 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=45291 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=45305 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=45319 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=45333 addr=00025728 strb=f data=00000000
STACKSTORE cycle=46234 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=46262 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=46276 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=46290 addr=00025728 strb=f data=00000000
STACKSTORE cycle=46318 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=46332 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=46346 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=48142 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=48170 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=48184 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=48198 addr=00025728 strb=f data=00000000
STACKSTORE cycle=48226 addr=0002573c strb=f data=00000214
STACKSTORE cycle=48240 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=48254 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=50756 addr=0002573c strb=f data=00000204
STACKSTORE cycle=50770 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=50784 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=50798 addr=00025730 strb=f data=42c80000
